JAVA,PYTHON,NET,TESTING,OTHER
"JAVA -GENERIC, JAN,2020",PYTHON FULL STACK WITH ANGULAR,ASP.NET,(TESTING),WEB DEVELOPMENT
JAVA FULL STACK WITH ANGULAR,,(.NET),-TESTING,FUNDAMENTAL MARKETING
JAVA.NET,,EDGE .NET,SDET- TEST AUTOMATION,ARTIFICIAL INTELLIGENCE
EDGE JAVA,,.NET+ MICROSOFT DYNAMICS,,PROGRAMMING
JAVA,,.NET FULL STACK WITH ANGULAR,,SEM
(JAVA),,JAVA.NET,,WRITING
,,. NET,,DIGITAL MARKETING
,,.NET,,ECOMMERCE
,,POPEL(.NET),,LANGUAGES
,,,,EDGE-INFRA
,,,,PERSONAL & PROFESSIONAL DEVELOPMENT
,,,,GRAPHIC DESIGN
,,,,IPATH
,,,,CONTENT MARKETING
,,,,BUSINESS & FINANCE
,,,,CODING
,,,,FOREIGN LANGUAGE
,,,,HUMANITIES
,,,,NODE FULL STACK WITH REACT
,,,,DATA SCIENCE
,,,,EMAIL MARKETING
,,,,DESIGN
,,,,SALES
,,,,COMMUNICATION
,,,,ENTREPRENEURSHIP
,,,,ITCP
,,,,CYBER SECURITY
,,,,SOCIAL MEDIA MARKETING
,,,,DATA ANALYTICS
